Unnamed: 0,B365H,B365D,B365A,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA
1439,3.75,3.2,2.0,3.4,3.1,2.0,3.2,3.2,2.0,3.1,3.1,2.1
1440,6.5,3.6,1.53,5.5,3.5,1.55,5.0,3.5,1.57,6.0,3.4,1.5
1441,1.3,5.0,8.5,1.27,4.6,9.0,1.33,4.0,8.0,1.28,4.2,9.0
1443,2.6,3.25,2.6,2.6,3.0,2.6,2.6,3.2,2.38,2.4,3.1,2.6
1446,1.8,3.25,4.5,1.85,3.2,3.8,1.91,3.2,3.5,1.8,3.3,3.75
1447,1.9,3.25,4.0,2.0,3.2,3.3,1.91,3.2,3.5,1.95,3.1,3.5
1445,1.3,4.33,13.0,1.33,4.2,8.0,1.33,4.0,8.0,1.28,4.5,8.0
1444,1.9,3.25,4.0,1.8,3.2,4.0,1.8,3.2,4.0,1.8,3.1,4.0
1448,2.4,3.2,2.87,2.5,3.0,2.7,2.38,3.2,2.6,2.37,3.1,2.62
1455,7.5,4.33,1.4,6.5,3.7,1.45,6.5,3.6,1.44,6.5,3.6,1.44
1454,2.0,3.2,3.75,1.85,3.2,3.8,1.8,3.3,3.75,1.8,3.3,3.75
1453,2.6,3.1,2.7,2.3,3.1,2.8,2.4,3.1,2.6,2.5,3.1,2.5
1456,6.0,3.8,1.53,5.0,3.7,1.55,6.5,3.6,1.44,6.0,3.4,1.5
1451,1.44,4.0,7.5,1.45,3.7,6.5,1.5,3.25,6.5,1.4,3.75,7.0
1450,2.25,3.1,3.2,2.3,3.1,2.8,2.0,3.2,3.2,2.1,3.1,3.1
1449,1.16,6.5,15.0,1.2,5.2,11.0,1.16,5.5,12.0,1.14,5.5,15.0
1452,1.66,3.6,5.0,1.65,3.5,4.5,1.72,3.2,4.33,1.7,3.2,4.5
1457,2.25,3.2,3.1,2.3,3.1,2.8,2.2,3.2,2.8,2.2,3.1,2.87
1458,2.1,3.1,3.6,2.0,3.2,3.3,1.9,3.2,3.5,1.9,3.2,3.5
1459,1.72,3.4,5.0,1.7,3.3,4.5,1.61,3.25,5.0,1.66,3.1,5.0
1460,1.9,3.25,4.0,2.0,3.2,3.3,1.83,3.2,3.75,1.9,3.1,3.6
1461,1.28,5.0,10.0,1.27,4.4,10.0,1.25,4.5,10.0,1.25,4.5,10.0
1462,1.57,3.5,6.5,1.55,3.7,5.0,1.53,3.5,5.5,1.57,3.3,5.5
1463,2.3,3.1,3.1,2.3,3.0,2.9,2.1,3.2,3.0,2.25,3.1,2.8
1468,1.8,3.3,4.5,1.7,3.4,4.3,1.66,3.3,4.5,1.66,3.3,4.5
1467,5.5,3.6,1.61,5.2,3.6,1.55,5.5,3.5,1.53,6.0,3.3,1.53
1466,2.4,3.1,2.87,2.2,3.0,3.1,2.2,3.2,2.8,2.1,3.1,3.1
1465,1.9,3.25,4.0,1.85,3.1,4.0,1.9,3.2,3.5,1.83,3.0,4.0
1464,2.37,3.1,2.75,2.4,3.0,2.8,2.2,3.2,2.8,2.25,3.0,2.87
1475,12.0,4.5,1.3,8.0,4.2,1.33,8.0,4.5,1.28,8.0,4.0,1.33
1474,1.8,3.3,4.5,1.8,3.2,4.0,1.72,3.2,4.33,1.8,3.1,4.0
1473,1.8,3.3,4.5,1.8,3.2,4.0,1.66,3.3,4.5,1.72,3.2,4.33
1476,3.6,3.3,2.0,3.2,3.1,2.1,3.5,3.2,1.9,3.0,3.1,2.15
1471,2.1,3.25,3.4,1.9,3.2,3.6,1.9,3.2,3.5,1.9,3.2,3.5
1470,4.33,3.3,1.83,3.6,3.2,1.9,4.0,3.2,1.8,4.0,3.1,1.8
1469,1.4,4.0,9.0,1.37,4.0,7.2,1.4,3.75,7.0,1.33,4.0,8.0
1472,1.53,3.6,6.5,1.6,3.5,5.0,1.61,3.25,5.0,1.61,3.1,5.5
1477,2.5,3.2,2.75,2.3,3.1,2.8,2.37,3.2,2.6,2.37,3.1,2.62
1478,2.37,3.1,3.0,2.3,3.1,2.8,2.25,3.2,2.75,2.25,3.1,2.8
1484,1.72,3.4,5.0,1.75,3.3,4.2,1.62,3.25,5.0,1.72,3.2,4.33
1479,1.9,3.25,4.0,1.75,3.3,4.2,1.73,3.2,4.33,1.72,3.2,4.33
1480,2.3,3.1,3.1,2.3,3.1,2.8,2.2,3.2,2.8,2.3,3.1,2.75
1481,2.8,3.1,2.5,2.55,3.1,2.55,2.5,3.2,2.5,2.6,3.1,2.4
1482,1.33,4.5,9.5,1.37,3.9,7.5,1.33,4.0,8.0,1.36,3.75,8.0
1483,1.3,5.0,9.0,1.33,4.2,8.0,1.29,4.5,8.0,1.3,4.2,8.5
1485,2.6,3.0,2.8,2.5,3.0,2.7,2.5,3.2,2.5,2.37,3.0,2.7
1487,5.0,3.4,1.72,4.3,3.4,1.7,4.33,3.2,1.73,4.5,3.3,1.66
1486,2.0,3.2,3.75,1.9,3.1,3.8,1.83,3.2,3.75,1.8,3.1,4.0
1488,5.5,3.6,1.61,4.8,3.6,1.6,5.0,3.25,1.62,5.5,3.3,1.57
1493,2.2,3.2,3.25,2.2,3.1,3.0,2.2,3.2,2.8,2.2,3.1,2.87
1494,1.83,3.3,4.33,1.85,3.2,3.8,1.8,3.2,4.0,1.8,3.1,4.0
1492,2.1,3.2,3.5,2.0,3.2,3.3,1.9,3.25,3.4,1.83,3.2,3.75
1495,2.9,3.2,2.37,2.65,3.1,2.45,2.5,3.2,2.5,2.75,3.1,2.3
1490,1.12,7.0,23.0,1.15,6.0,13.0,1.16,5.5,12.0,1.14,5.5,15.0
1489,5.5,3.6,1.61,4.8,3.6,1.6,6.0,3.4,1.5,6.0,3.3,1.53
1491,2.0,3.2,3.75,2.1,3.1,3.2,2.2,3.0,3.0,2.1,2.87,3.3
1496,1.9,3.25,4.0,1.85,3.2,3.8,1.8,3.2,4.0,1.83,3.2,3.75
1498,3.1,3.2,2.25,2.8,3.1,2.3,3.2,3.2,2.0,2.8,3.1,2.25
1497,2.0,3.2,3.75,2.0,3.1,3.4,2.0,3.0,3.5,2.0,2.87,3.6
1499,1.25,5.0,13.0,1.27,4.6,9.0,1.25,4.5,10.0,1.28,4.2,9.0
1500,1.18,5.75,17.0,1.22,5.0,10.0,1.2,5.0,11.0,1.25,4.5,10.0
1501,2.4,3.2,2.87,2.2,3.1,3.0,2.2,3.2,2.8,2.2,3.0,3.0
1502,2.1,3.2,3.5,2.2,3.0,3.1,2.1,3.2,3.0,2.05,3.0,3.3
1503,3.75,3.2,2.0,3.2,3.1,2.1,3.0,3.2,2.1,3.5,3.1,1.95
1504,1.61,3.6,5.5,1.6,3.6,4.8,1.57,3.5,5.0,1.57,3.3,5.5
1505,1.9,3.25,4.0,1.85,3.2,3.8,1.9,3.2,3.5,1.83,3.2,3.75
1506,9.0,4.33,1.36,7.5,4.2,1.35,8.0,4.0,1.33,8.0,4.0,1.33
