Unnamed: 0,HomeTeam,AwayTeam,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HomeTeamLP,AwayTeamLP,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP,FTR
4464.0,3.0,34.0,40.0,36.0,60.0,31.0,-0.8792888283749223,-0.013612639578260616,W,D,L,W,L,W,D,L,L,W,15.0,10.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0198201842965833,0.24001674119970004,-0.6206780140955288,0.033787923340025686,0.6211637928092925,NH
1574.0,38.0,16.0,4.0,6.0,8.0,10.0,-1.6590517059569387,-1.3349805621271609,L,L,D,D,D,L,L,L,W,D,18.0,9.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9855489000502197,-1.0142647228786865,-0.2391267953040799,-0.4364606197507561,1.1183789500036945,H
3745.0,15.0,39.0,50.0,38.0,42.0,55.0,0.4619483290291256,-1.006338454463192,D,W,W,D,W,L,L,L,L,L,5.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.36972461333629386,-0.7877755419431831,1.047499407601518,0.974285009518768,-0.4975703108781125,H
3927.0,41.0,5.0,11.0,18.0,20.0,17.0,-1.2448919358117054,-0.11142071512990738,L,L,W,L,D,D,W,L,D,W,15.0,14.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0237745632482589,0.09727448817565826,-0.81316002429247,-0.8343632331326594,0.12394863561489027,NH
5454.0,35.0,29.0,17.0,14.0,14.0,25.0,0.18691755525270834,-1.0767617632494126,D,L,W,D,W,W,L,D,L,W,12.0,18.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3277756712560742,-1.1922205078986916,0.9004564129840001,0.23532301323575258,-0.7461778894753136,
1632.0,21.0,2.0,18.0,7.0,11.0,10.0,0.31510986507269345,-1.1542274029125201,L,D,W,W,L,L,D,D,D,D,4.0,10.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87795218085605,-0.39141947530493143,1.047499407601518,0.7391607379747877,-0.7461778894753136,H
2113.0,40.0,38.0,25.0,20.0,26.0,31.0,0.5924714080919375,-0.9077458221650857,L,L,W,W,W,L,L,W,L,L,18.0,17.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05944533256896339,-0.7651266238488854,1.0708926112898967,0.803285539304451,0.12394863561489027,NH
666.0,32.0,25.0,34.0,27.0,42.0,35.0,-0.21092064759679738,-0.23799587172488018,W,D,L,D,W,W,L,W,D,D,10.0,14.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40293706785905703,-0.43007883549985526,0.01819844527734846,0.033787923340025686,-0.4975703108781125,NH
639.0,15.0,0.0,26.0,50.0,32.0,30.0,-0.4165723955298535,1.2233718452196904,L,D,D,W,L,D,W,W,D,D,16.0,2.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3357126256820641,1.1321558226053798,-1.169456511250302,-0.40028765489631685,1.7398978964966973,NH
168.0,21.0,18.0,32.0,23.0,23.0,17.0,0.6846053462779929,0.6639367280235945,W,L,L,W,L,L,W,W,W,L,4.0,18.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7975658597195893,0.5098742358899261,0.01819844527734846,-0.4641222987542705,-1.740608203864118,NH
825.0,1.0,15.0,3.0,7.0,6.0,8.0,-0.8898978471167143,-0.3021053666053226,L,W,L,W,L,W,L,L,D,W,8.0,15.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6305963132097944,-0.23125926878588046,-0.4229305385752054,-0.36928225645086377,-0.8704816787739141,H
955.0,34.0,19.0,12.0,24.0,26.0,26.0,-0.7975993840562319,-0.5035160297372109,D,W,L,L,L,D,W,L,L,L,17.0,5.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0352422622072233,-0.16719518617855908,-0.2133942712454739,0.033787923340025686,1.4912903178994963,NH
1105.0,26.0,1.0,58.0,38.0,45.0,41.0,1.017603722812125,-0.24013285487743974,L,L,L,W,W,W,D,D,D,L,4.0,8.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5620443785702182,-0.14584049197606877,0.9004564129840001,0.033787923340025686,-0.4975703108781125,H
465.0,39.0,32.0,7.0,5.0,16.0,14.0,-0.8215286152199012,-1.3349805621271609,W,L,L,W,L,L,L,W,L,W,15.0,10.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.482482521624728,-1.5125409209367935,0.361298766051557,0.033787923340025686,0.6211637928092925,H
2205.0,25.0,5.0,43.0,43.0,52.0,34.0,-0.16540453491247536,0.5775044773029971,W,L,L,W,W,L,L,W,W,L,7.0,6.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4244948111744764,0.41627016832208286,-0.5296552927329817,0.30683546448900223,0.12394863561489027,H
1238.0,10.0,0.0,13.0,18.0,12.0,7.0,0.27921601831965154,2.2077813584932438,W,W,W,L,L,W,W,W,D,D,12.0,2.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15739842957278932,1.62659912683242,-1.3713578538595859,-0.5305103283677839,1.2426827393022952,H
182.0,14.0,26.0,21.0,20.0,35.0,22.0,-0.92228327275216,0.3013111949819023,W,L,W,L,W,W,L,D,W,L,16.0,11.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0901665045915936,-0.17506270509566726,-0.875668179898376,0.33078700318698373,0.6211637928092925,H
2012.0,39.0,38.0,15.0,9.0,10.0,21.0,0.4945790987948285,-1.3349805621271609,W,L,W,L,D,L,L,W,L,L,18.0,17.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6294853700695412,-1.5125409209367935,1.3048246481814025,0.974285009518768,0.12394863561489027,NH
3034.0,25.0,22.0,35.0,44.0,52.0,45.0,-0.5255618087271012,0.3583911399892889,W,L,L,D,D,L,L,W,W,L,12.0,14.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6586188858561897,-0.05704992134457517,-0.6318863730324097,-0.040461846621572754,-0.24896273228091137,H
3948.0,26.0,11.0,22.0,28.0,21.0,9.0,-0.1515101426307018,1.2678649305805834,L,D,L,W,W,L,L,W,L,W,18.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10770506741533849,1.8757372258667053,-1.0111025170468213,0.22188734057605625,2.1128092643924994,H
689.0,26.0,15.0,54.0,29.0,40.0,36.0,1.1545627325021324,-0.4720299955562066,D,L,L,W,W,W,L,D,D,L,11.0,16.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6815832497505834,-0.35525426738146765,1.1637108065730786,0.21581961743943742,-0.621874100176713,NH
